日期及型号,评论
2025年6月18日 · 【DP直连】标准版,入手这款VR眼镜太值啦！重量轻戴着不压头，操作简单好上手，画面清晰又震撼，不管是玩游戏、看视频，还是VR健身，沉浸感都拉满，仿佛亲临现场~客服也超贴心，有问题秒回，解决超及时。性价比这么高的宝贝，必须安利给大家，妥妥提升生活幸福感！
2024年12月19日 · 【边充边玩】标准版+Hub套装,不得不说新品真的很好，功能很多很出乎意料，电致变色真的很方便也很酷，通透模式也很方便，悬停模式更舒服了，还能调节亮度和音量屏幕大小，比之前的智能很多，方便了不少体验也更好了，客服也不错有问必回，东西很不错感觉物超所值 很喜欢也很实用。
2024年12月13日 · 【DP直连】标准版,镜子好像变大了些，也变薄了，盒子很精致，配的眼镜因为度数比较高，估计用的镜片一般般，看起来就很厚，而且一直刮着靠近边框那里，总体感觉有点省成本，但是自带3dof这个功能就很好用了，终于屏幕不跟着眼镜走了，挺不错的，待体验以后再追评一下吧
2024年12月23日 · 【DP直连】标准版,XREAL One AR眼镜不仅物超所值，还给我带来了许多惊喜。外观设计时尚而精致，佩戴起来非常舒适，不会给鼻梁和耳朵带来任何不适。画面很大，画面清晰细腻，色彩还原度极高，让人仿佛置身其中。原生3DoF空间功能绝了，体验非常棒，值得入手！
2025年6月16日 · 【DP直连】标准版,显示效果清晰，看高清视频可以达到家庭电影院的效果，云台模式不会晕眩，配了博士眼镜的镜片，非常薄和清晰。买两条转换线，PS5和switch又活起来了，晚点再配上switch2就更爽了。带娃妈**福音，可以等孩子睡着，在床上偷偷看视频打游戏了
2025年6月18日 · 【DP直连】标准版,�� XREAL One智能AR眼镜与Nintendo Switch完美组合！沉浸式游戏体验升级，畅玩无阻。画面清晰如现实，视野宽广不眩晕。无论是紧张刺激的动作游戏还是策略十足的冒险探险，都能身临其境。带上它，尽情享受游戏的每一个瞬间。�✨
2025年1月10日 · 【DP直连】标准版,产品不能在ipad pro上使用，客服也承认不能在ipad pro使用，广告上写的是可以使用，结果客服说匹配问题，不能在ipad pro上使用，欺骗消费者，不给退货退款，太差劲了！ 产品的介绍写的天花乱坠，结果居然iPadpro 上不能使用！
2024年12月13日 · 【DP直连】标准版,描述相符：�����五星好评！商品品质和描述完全一致，质感和细节都非常棒！  物流服务：�����五颗星！物流超级给力，很快就收到了，包装也很好，没有损坏。  服务态度：�����五星好评！客服很耐心，解答了我所有的疑惑。总体购物体验非常满意！
2025年1月30日 · 【DP直连】标准版,XREAL One 智能 AR 眼镜使用体验很棒！画面清晰，色彩鲜明，120Hz 刷新率反应灵敏。空间定位精准，3DoF 悬停模式沉浸感强。佩戴舒适，重量分布均匀。音效出色，四扬声器清亮通透。连接多种设备，适配性强，是一款非常优秀的 AR 眼镜。
2024年12月18日 · 【DP直连】标准版,每次使用它都能带给我满满的惊喜和满足感，真是物超所值的典范。不仅如此，它的设计也是那么的人性化，每一个细节都考虑得周到至极，让人在使用过程中倍感贴心与舒适。更难能可贵的是，它的售后服务也超级给力，任何问题都能迅速得到解决，这样的购物体验简直太棒了！
2024年12月22日 · 【DP直连】标准版,之前也体验过xreal air，总觉得还差点意思，一是屏幕看不清，二是设备太复杂，三是mac端软件总有点bug。这次xreal one 体验下来感觉终于达到生产可用的级别，直连mac即可投屏，终于实现了躺着办公。不过还有些兼容性问题，期待后续ota
2025年1月14日 · 【DP直连】标准版,首发之前就提前预定了，也看了很多博主的测评，直接就心动了，然后预定了，网上其他家的ar眼镜也看了，参差不齐，但是各项数据都很好，都做到极致的，只有这款，真的，视觉效果也很棒，色彩饱和度也很好，到手之后体验完了直接就定制了近视镜片，很棒，期待下一代产品
2024年12月16日 · 【DP直连】标准版,XREAL One新品上市，这次升级相对上一代是很大的。外观时尚，82g的重量佩戴舒适。搭载的X1芯片实现了原生3DoF悬停，显示效果出色，50°FOV、巨幕投屏及高刷新率带来沉浸视觉体验，还具有三档电致变色，Bose调校的音响也提供了出色的听觉享受。
2025年3月14日 · 【边充边玩】标准版+Hub套装,ONE系列非常好，switch（破解版，大气层，跟正版系统）都可以正常连接，用他家hub转接头，加switch原装c口的线，加充电宝完美接入，画面很好。ps5用优莱特的转接器也正常连接，没有任何问题，手机 pad直接一线连接就可以 ，所有设备都能连接。
2024年12月14日 · 【DP直连】标准版,1.清晰度高上一代太多了  2.出门云台模式，躺下固定空间显示确实非常实用  3.音质比上一代提升不是一星半点  4.线材比上一代细，这个好评，上一代实在是在粗了  5.官方终于知道遮光罩其实没啥用了，这代直接取消了，虽然底部白色反光问题没有得到彻底解决
2024年12月15日 · 【DP直连】标准版,从air2PRO升级过来，终于有独立的3dof了，很好用，现在直连串流都能有很好的使用体验了，比起之前用beampro+moonlight串流，直连电脑没分辨率损失字也看得清了，镜片和换来固定方式不同，只能新配，但收起来时和眼镜腿会有干涉，这点似乎没设计好
2024年12月21日 · 【DP直连】标准版,体验了几天，首先清晰度没问题，确实能带来超大屏的体验，自带自研芯片延迟很低，悬浮和云台两种模式可用性很高，模式切换也很方便，加上三段电致变色，能覆盖更多使用场景，美中不足的是软件上，原来的app不给用，手机投屏和操控体验还有提升空间，希望以后能适配app。
2024年12月20日 · 【DP直连】标准版,使用很不错，性价比高，不过还是期待下一款onepro，说是明年年初发布，期待！希望越做越好，唯一遗憾就是眼镜配比，要是普通眼镜也能适配就好了，配镜比较慢，不错总体来说还是非常不错，这一代的轻便一点，下一代要是更轻便就好了，还有就是画质要是画质也能做好就好了。
2024年12月24日 · 【DP直连】标准版,首发期拿下心仪已久的XREAL ONE，到货了就迫不及待打开体验了。分别测试了直连手机看视频，PC电脑玩《魔兽世界》，掌机steamdeck玩《真女神转生5》，不得不说以上场景使用，无论是画质，色彩，帧数，清晰度都特别满意，大大提升了观影，游戏体验，太赞了！
2025年4月28日 · 【DP直连】标准版,很快就能上手使用。我只是用来看电影追剧，效果音效已经非常好了，不后悔选择，推荐购买。 建议，升级要通知用户，用户（直插用户）没有事不可能去电脑查看。直插用户看3d的电影功能是不是受限，若果是，望后期升级。华为手机能息屏，小米不行，但手机调暗播放对眼镜没影响。
2024年12月17日 · 【DP直连】标准版,总体显示效果比较满意，SBS 3D视频的适配还没很完善。对近视镜片不是很满意。加了近视镜片后本体眼镜无法正常合拢，因为近视镜片会被压得变形并摩擦到主镜片。虽然客服说不影响也不会破损，但是现在主镜片已经可以看到轻微磨损痕迹。客服也不给一年的质保。所以近视人群慎入。
2024年12月20日 · 【DP直连】标准版,Xrealone相对于xrealair2ultra来说更轻，要是对于来看one更好一些，输出源来说还是手机里比较好，不利于就是每次复制资源比较慢，要是能便携拓展坞，优点就是拓展switch 比较好，这个比其他X-R眼镜要好很多，这次自研芯片也比其他家要好，加油！
2024年12月20日 · 【DP直连】标准版,非常好用，感觉体验很不错。之前一直有关注这类产品，所以已发布我就入手了。收到东西后感觉还是很不错得。大屏体验不错。可以悬停还有电致变色总得来说还是非常不错的。值得入手。客服也非常有耐心，对我提出的问题总是耐心解答。物流也很高给力，顺丰收到东西很快，非常愉快的购物
2025年2月23日 · 【DP直连】标准版,之前買的雷鳥air 2可以賣了！這款超好用！就是配了鏡片不太好摺合，摺合時會變形，長期壓著不知道會不會永久變形。在家用時尚可使用眼鏡展示架放着，但外出要入眼鏡盒就令人擔心。已經要換下眼鏡，如果鏡片還要每次拆裝就極度麻煩，而且拆裝時手殘黨一個不注意用力不當就會弄壞。
2025年7月10日 · 【DP直连】标准版,XREAL One AR智能眼镜，体验感太棒了!原生3DoF悬停功能，让画面稳定又真实。自研空间计算芯片，响应速度快，操作流畅。50FOV视野，沉浸感十足。直连苹果16系列，适配完美，无缝切换。这可不是普通VR眼镜，它开启全新视觉体验，网购入手，科技感满满，超值!
2024年12月21日 · 【DP直连】标准版,顺丰物流很快，使用了2天，感觉很不错，观影效果：非常好，很清楚，边缘也不模糊，3Dof体验很不错，方便多了，不要外接设备了，体验非常好，非常满意！舒适度：佩戴舒服，舒服佩戴。 外观设计也满意，时尚，而且还轻，新品升级跟惊喜啊，还跟bose合作，音质嘎嘎好，值得购买。
2025年6月14日 · 【DP直连】标准版,东西不错，以前没体验过，就是可视视角有点小，屏幕调大到一定程度超出了清晰视野范围，插手机上太费电，现在主要插在笔记本电脑上，本来想配个显示器又无奈于无处安放，突然发现这个宝贝，直接替代了传统显示器，配上我的无线鼠标和键盘再不需要再把电脑放面前玩了，娱乐体验翻一倍不止
2025年6月9日 · 【DP直连】标准版,最近发现了iPhone空间视频这个有趣的东西，趁着618把市面上AR和MR都买了试了个遍，这款轮画质是第一梯队的，至于MR画质不行（苹果那个除外，佩戴也不够舒适，这款是我这个小头唯一能戴上很稳固和舒适的了，另外买了XReal Eye，期待月中发货再看看提升了多少体验
2025年6月24日 · 【边充边玩】标准版+Hub套装,618入手的xreal最新产品新品xreal one，总体来说体验下来非常棒，这次升级最大的亮点就是one携带了xreal自研的x1芯片，可以做到直连手机或则电脑就可以做到3dof体验，扬音器方面也很不错，bose调节的，还是非常推荐想入手ar眼镜的小伙伴，这款准没错�
2024年12月17日 · 【DP直连】标准版,朋友推荐下买的，用来办公，屏幕清晰度和亮度完全没问题，美中不足的就是我的电脑没有DP协议C口，需要复购一个beampro来串流，丢失了超宽屏的体验，但是使用体验依然在线。直连稳定性很好，但是连接平板时需要低头操控内容，希望能有除了beam盒子以外的控制装置能解放设备本身。
2025年1月10日 · 【DP直连】标准版,可以说是目前体验最好的ar眼镜，对轻度近视的人很友好，不用再单独配镜片了。清晰度比雷鸟好很多，色彩也漂亮，更重要的是这一代升级了可视面积，并且不需要额外搭配beam也能实现3dof悬停了。三档电致变色白天晚上都能看清楚，外接一个转接器也可以边充电边用，无限续航，非常推荐。
2025年1月2日 · 【DP直连】标准版,产品非常优秀，是市面上数一数二的AR头显了，直连超方便，即插即用。做工精细，显示清晰，尤其BOSE音响音质就像电影院，最新的屏幕悬停技术也是非常实用，屏幕不会跟着头转动而摇摆导致头晕，收纳盒做工也很用心，皮质手感摸起来很舒适。客服服务回复和解答都很及时和耐心，很值得购买。
2024年12月23日 · 【DP直连】标准版,对比了几家Ar眼镜，然后看了几个评测，决定入手xreal的，当初比较了市场上的同类产品，买了刚发布的新品，体验非常出彩，比我预期要好，而且还不用搭配配件了，可以直接体验3DOF功能，现在有了搭配X芯片的one终于解决了最后的痛点！到货后使用，显示悬停和随动都很丝滑，很不错！
2024年12月23日 · 【DP直连】标准版,新品带有芯片，X1自研空间计算还增加了自带3dof确实方便了很多，不需要其他配件了。最重要的是有了三挡电致变色好评再也不用盖盖了。 另外，眼镜上的按钮增加了，也方便操作，特别是增加了快捷键，而且还可以自定义，这个也得好评，色彩艳丽，没有偏色，刷新率高，不累眼，做工精美，有质感
2024年12月31日 · 【DP直连】标准版,新品首发预定的，之前买了上一代产品，这一次增加的3dof功能超级nb 送了之前要单独购买的hub，还是有专门的遮光罩就更好了。 另外测试了iphone15/16都能用，小米14ultra也能用 华为mate70也能用，鸿蒙next下bug有点多但也能使用 整体来说这一代真的好评
2024年12月12日 · 【DP直连】标准版,第一代的元老用户，第一时间下单，第一时间收到货，终于等到各方面都进化到完全体的新款Xreal one ，自带云台 直连手机 电变色 一切都是那么完美 就连鼻托都有提升 实在是太满意了。刚好下个月要去旅行，飞机火车上有它，想想就美的。晚上睡觉带着看会电影 也不会脖子酸了，美了美了美了
2025年4月28日 · 【非DP推荐】Beam Pro 128G套装,心仪了很久，一直没钱买，刚上市就想买，可是那时候没钱，本来想等六一八买的，结果这次看到有国补，果断买了，虽然缺钱，但是忍不住啊！上眼太惊艳了，太爽了，就是带着近视眼镜看，不舒服，这两天准备去医院验光，然后配眼镜，那样就爽多了，棒棒哒，杠杠的，以后出新的。再来买。客服也棒棒哒，很好。
2024年12月17日 · 【DP直连】标准版,新款xrealone非常强大，天生3dof，只需要眼镜直接连接电脑或则手机就可以实现悬停和云台模式，屏幕也可以放大和远近调节，效果比电影院还棒！音效是bose工程师调教，非常不错！索尼屏幕画面色彩非常棒，眼镜还支持调节色温，还有画面优化，目前应该是最好用的ar产品了，非常推荐购买哦！�
2025年1月9日 · 【DP直连】标准版,本来会以为是智商税，用了一段时间才来评价的，确实还不错，打游戏看电影完全没问题，发热也感觉不到，因为在眼镜上部，屏幕大小远近都可以调，近视的一定得搭配带度数的眼镜!还挺爽的，大部分设备都能接东西不错，还有优惠，可以放心省钱购买，不要犹豫了东西不错，还有优惠，可以放心省钱购买，不要犹豫了
2024年12月20日 · 【DP直连】标准版,XREAL One这款XR眼镜，就我个人体验而言，真的非常出色。首先，它的画面表现非常优秀，清晰度很高，色彩还原也很准确，让我仿佛身临其境。 其次，这款眼镜的佩戴舒适度也很不错，不会有压迫感。 另外，它的操作简便易懂。总之，这是一款性价比很高的XR眼镜，我非常满意这次的购买。客服态度也好
2024年12月20日 · 【DP直连】标准版,怀着战战兢兢的心态买的，结果到手后发现超出了我的预期。能够直连我的手机、平板、电脑，只有一根线十分方便。通透模式和三档电致变色很实用。我最喜欢的是超宽屏模式，出差办公相当于多了副屏。通过配套的APP可以直接观看手机拍的空间视频。发热的位置也比上一代有了改进。总之，对于新品是满意且惊喜的。
2024年12月21日 · 【DP直连】标准版,作为便携空间大屏相比于air2pro有长足的进步，相较于上一代产品，xreal one在小细节方面有了许多改良，例如镜腿阻尼，镜框厚度等。同时，眼镜本体自带的3dof解决了上一代产品的诸多痛点，作为市面上唯一本体自带3dof的ar眼镜，xreal one确实有其他产品所不具备的诸多优势。
2024年12月24日 · 【DP直连】标准版,特意用了一段时间才评价的。首发购入，拿到后马上试着连接了电脑和手机，显示效果很不错，比家里的投影明亮度，对比度都强很多，一路用下来，直连设备后，可悬停，可云台，还能调节画面距离和大小，延迟的话我没怎么感觉到，音响效果不错，眼镜的发热在前面，没太大感觉。做工不错，音质也不错，看视频也不错。
2024年12月16日 · 【DP直连】标准版,看到视频博主的推荐后首发的时候购入的，到货后试着连接了手机，感官很新奇，使用下来觉得很不错，连接设备后，画面可悬停可云台，还能调节画面距离和大小。音响效果不错，会有轻微漏音，但是效果很立体。眼镜是有点重量，试用的时候没用太久。使用下来感觉不错，已经订购了配套的近视眼镜，期待之后的使用效果。
2024年12月19日 · 【DP直连】标准版,先哭一下，双十一才刚买的air2 pro啊！新出的XREAL One内置了X1芯片，升级了惊鸿锐影4.0，拥有了更大的FOV。最主要的是不用再外接设备支持3DoF了！以后看电影直接连接我的iPhone超方便，清晰度对比air2 pro很明显的提升，使用完再对比air2 pro差距特别明显。
2024年12月29日 · 【DP直连】标准版,之前考虑过XREAL的2代眼镜，但多到一个BEAM设备还是有点累赘，一直在犹豫。现在看到新型号One实现了Dof计算内置的构型就毫不犹豫的首发购入了。到货当晚体验确实3Dof已经是完全体了，可惜我是近视看不清投射画面。后来又根据客服提示配了专用镜片，现在可以随时随地体验随身100寸大屏啦。
2025年1月4日 · 【DP直连】标准版,外观时尚大气，可以日常出门佩戴，毫无违和感，就像佩戴普通墨镜一样。眼镜透明度可以3色调节，非常方便和人性化。充电也很方便。连接口适配度很高，手机插上就可以随处观看大屏幕电影，不输家里的投影效果，关键非常的轻便，出门很方便。对于视力不好的伙伴也很友好，可以根据自己眼睛的情况配适合自己的镜片。
2025年3月15日 · 【DP直连】标准版,"我同時雍有Rokid Air Max 和 Xreal one, 因為我有近視和散光，Xreal One 的懸浮顯示十分好，畫面四隻角都可以清晰見到，可以解決Rokid 畫面死角模糊(只是本人眼球問題)，但顏色方面沒有Rokids 鮮艷，聲音Xreal 沉實，Rokid 聲音響亮，各有好處。"
2025年7月10日 · 【DP直连】标准版,从其他家及时出坑选择了XREAL，相比之下 XREAL有硬件芯片的原生3dof更稳定，发热量更低，连电脑时不用另外再装适配软件，也没有其他家讨厌静止时视窗左右缓慢漂移的问题，虽然电致变色只有3档，但已经足够了，而且XREAL也有自动通透模式，很方便在屏幕及以外查看，很推荐XREAL one
2024年12月22日 · 【DP直连】标准版,老顾客再来返购了， 之前用的是pro 2，就是很麻烦，他要带多一个beam，  现在可好了，已经把新的功能整合到了眼睛里面，非常舒服，戴起来还是一如既往的质量很棒，很清晰，连接速度也很快，一点卡顿都没有，显示帧率的话估计也在60左右，打游戏看电影一点问题都没有，很棒！  值得信赖，继续支持！
2024年12月23日 · 【DP直连】标准版,眼睛很不错，和mini电脑简直就是绝配，原来也用过其它家的眼睛，但是由于没有3dof模式，也没有电子变色，还要用遮光罩，xreal one就完美解决了这两样，用来玩游戏和看电影，简直是绝配，居然还可以实现在健身房跑步机上装装，打开电子变色最低档，舒服安逸得很，期待后续更新固件，让眼睛更完美！
2024年12月19日 · 【DP直连】标准版,很幸运是首发使用者！ XREAL One眼镜体验出色，82克轻量机身佩戴舒适，自研X1芯片加持，实现原生3DoF空间定位，画面稳定低延迟，打起游戏很舒服！ 50°视场角、高刷新率及高清屏幕，给了我沉浸式的视觉体验！三档电致变色适应多种环境，扬声器经过 Bose 品牌调教十分出色！真的是爱上了！
2024年12月20日 · 【DP直连】标准版,XREAL One真是个让人惊喜的宝贝！戴上它就像打开了新世界的大门，无论是看大片还是玩游戏都沉浸感十足。最让我心动的是它的光学性能，画面清晰且色彩还原度高，音频细节处理淋漓尽致，长时间使用也不累眼睛和头。外观设计也超级时尚，外人完全看不出是个高科技产品。轻巧便携的它就是我出差旅行的必备良品！
2024年12月31日 · 【DP直连】标准版,购买的 Xreal One 给我带来了非常惊喜的体验。首先，它的画质清晰细腻，色彩鲜艳*真，无论是看电影还是玩游戏都有身临其境之感。佩戴起来也很舒适，长时间使用不会感到压迫。操作简单方便，容易上手。而且它的设计时尚，携带方便，随时随地都能享受大屏体验。总之，非常满意这次的购物，强烈推荐给大家。
2025年1月18日 · 【DP直连】标准版,年纪大了但对新事物还是有着向往和追求，本来是等老罗说的2024年年底发布的AR眼镜，但被他放鸽子了！直到最近因为关注AR眼镜，被推送的广告了解到XREAL公司的全新一代产品，看了各方面介绍果断入手，怎么说呢，很惊艳，体验后非常满意，然后又果断入手了Beam pro，期待后续的摄像头的配件发布！
2025年1月8日 · 【DP直连】标准版,看了好多测评，最后还是下决心购入了Xreal One，3dof悬停和云台防抖绝对是推动ar领域发展，也是目前ar眼镜的领头羊，真正的遥遥领先。整体虽然比普通眼镜重一些，但比起头戴式vr舒适度要好很多，连接iPhone追剧或者连接电脑玩游戏也方便得多，沉浸感很好。相对来说性价比也很高，值得拥有！
2025年2月17日 · 【DP直连】标准版,一直是xreal的忠实用户，之前是用air2 pro的，观望了一阵，还是决定换one，也证明选择是对的，体验好太多了，很多之前的问题都改善了，眼镜带着更加舒适，现在还加入芯片，功能更加完善方便，非常好！以后也会继续支持！就希望多照顾旧客户需求，以后出新款可以退下以旧换新就更好了！最好送上好评！
2024年12月18日 · 【边充边玩】标准版+Hub套装,第一次买AR 眼镜刚好xreal出了one系列，这下不用纠结要不要只买air2 还是air2+那个外置机子了，one已经2合1了属于是。体验下来有被哇塞到，就是材质是滑面容易沾上指纹，其他都挺好的，接了电脑，显示屏超大，不过客服说得先升级固件，刚升级完，再体验一段时间先，今晚就试试躺床上看手机！
2024年12月20日 · 【DP直连】标准版,3DOF真的很棒，暂时是独一无二的眼镜体验，完全不会头晕，重量控制得也很不错，显示效果很好，音效也特别赞，线材很软不会拉扯，盒子也挺帅的。我之前用的是雷鸟Air Plus，这个就是全方位压制，这次真的没买错，可以经常带出去玩了。戴上它就像进入了另一个世界�质量超级好 舒适度爆表 非常推荐给大家！
2025年1月18日 · 【DP直连】标准版,这款AR眼镜太棒了。它的显示效果超清晰，色彩*真，仿佛将虚拟世界直接呈现在眼前。佩戴舒适，长时间使用也不会有压迫感。操作简单便捷，功能丰富多样，无论是娱乐还是工作学习都能很好地辅助，真的是一款非常值得拥有的创新产品。玩switch屏幕真的是不可言喻，有这个就可以随时玩了，希望官方抓紧出新款hub
2025年5月17日 · 【DP直连】标准版,"买的时候标价2804,付款3269. 货到，发现跟红米不能配对，然后找客服，说要连上电脑先升级才可以用，刚买的顶级设备怎么收到产品就得升级。 跟华为配对上了，又打不开菜单，使用的时候还要用手机操作，但是手机隔一分钟就黑屏了，麻烦。 说寄回去让他们帮下载升级吗，又说海外不管邮费和关税。 气**啦！"
2024年12月15日 · 【DP直连】标准版,对比之前的air2Pro，鼻托支架重新设计了，戴起来更舒服，眼镜也薄了，增加多几个按钮，在镜腿上操作还不习惯，应该用久一点还可以，音响升级了，声音比air2Pro好很多，我平时看视频用beam比较多，感觉更方便，这个适配不是很好，眼镜有些支持不够，要搭配beam Pro使用才更能体现one的优势。
2024年12月15日 · 【DP直连】标准版,收到了，之前用的其他品牌的，这次相比之前，fov大了，也就是屏幕尺寸看起来又大了很多，此外有了电致变色，很实用的功能，在火车上环境光太亮也不会影响看片子了，不过目前可能初始版本系统感觉还有点小bug，比如最大尺寸屏幕下全屏播放影片云台模式会字幕显示不全，但是dof固定模式下就不会，但是总之瑕不掩瑜
2024年12月26日 · 【DP直连】标准版,一开始打算买雷鸟家的，但是没抢到首发后面看了很多的测评，3dof 还是很有必要的，直接就心动了，然后预定了，之前的款式都是要外挂一个设备看着很不方便，这个集成在眼镜里很方便，视觉效果也很棒，色彩饱和度也很好，相信这个产品付完尾款后马上接着定了近视镜片，眼镜和镜片一起到没影响我体验，期待下一代产品！
2024年12月21日 · 【DP直连】标准版,第一次尝试xreal的产品，之前有买过oculus quest2的设备，xreal one的清晰度高太多了，对我而言非常清晰，音质也很不错，和我手中的meta眼镜差不多，最重要的是非常方便，不用充电，直接连接设备就可以，每天连接我的ipad 和macbook，非常便捷，看视频打游戏都非常爽！推荐！！
2024年12月30日 · 【DP直连】标准版,xreal One 非常不错，具有卓越的性能和直观的界面。用户体验流畅，功能强大，易于上手。无论是 游戏还是工作，Xreal One 都能满足我的需求 眼镜的佩戴体验类似普通太阳镜，轻便舒适。音频 表现方面音效体验明显提升，在目前市面上的智能 眼镜中，XREAL 的显示效果和整体体验都处于领先水平。
2024年12月17日 · 【DP直连】标准版,入手 Xreal One 眼镜有段时间了，真的超棒！它的显示效果极为清晰，仿佛在眼前展开了一块高清大屏，观影玩游戏沉浸感拉满。佩戴舒适度也不错，长时间使用没明显压迫感。而且便携性强，走到哪带到哪。不管是在旅途中还是居家休闲，都能随时享受它带来的独特体验。总体而言，它仍是一款非常值得拥有的智能穿戴设备。
2024年12月22日 · 【DP直连】标准版,从air一代一直用到到现在的one，一点点看到眼镜的进步.这次3DOF眼镜端自带真的是一次大更新。不用接beam了，方便好多。自研芯片的加入，也没有影响配带的感受，发热也没有在跟皮肤接触的位置。续航也基本和我用的air2pro一致，音质的提升也很明显。我自己除了因为近视配镜的原因，有点需要多调整位置。
2024年12月19日 · 【DP直连】标准版,观影效果：视场宽了视觉体验必然是提升的，视场角变大了 舒适度：之前使用过air2pro，两者比较，one多了3dof使用体验超级好 操作难易：系统操作还行，连台式可以直接在设置里选音频dp输出好评， 其他特色：目前一段时间用下来，对比air2增加的重量感受并不明显，整体来说one真的体验满分，值得入手！
2024年12月14日 · 【DP直连】标准版,显示效果非常清晰，悬停模式玩游戏一点也不晕，画面很大。声音效果超过预期。 用steamdeck一线直连，方便随时随地畅玩游戏，再也不用把steamdeck举起来了 眼镜加上近视镜的重量也没感觉有多重，附带的眼镜盒让外出携带和眼镜更换变得很方便 价格方面也相当合理，性价比极高。强烈推荐给追求高科技体验的朋友们
2024年12月21日 · 【DP直连】标准版,之前买过pro，虽然感觉挺好，各方面都不错，但总有意犹未尽之感，这次看见新品one发售，且好评如潮，决定购买一试，昨天收到货，立即体验，自带3dof体验感觉确定不错，视角加大，影院感觉更突出，其它实用功能都集中在眼镜上操作，非常好，是我想要的AR头显，感谢厂家的优质产品给我带来快乐，以后出新品还会跟进支持。
2024年12月18日 · 【DP直连】标准版,XREAL ONE眼镜是一款令人印象深刻的产品。它不仅提供了高清的视觉体验，而且佩戴舒适，长时间使用也不会感到疲劳。智能交互功能使得操作变得简单快捷，兼容性强，无论是看电影还是玩游戏，都能享受到沉浸式的体验。这款眼镜的外观设计也非常时尚，配件齐全，包装精美。我非常推荐这款眼镜给所有追求高品质视觉体验的朋友们。
2024年12月26日 · 【非DP设备推荐】Beam Pro256G套装,显示效果很不错，去年买的 xreal2 退货了，但是今年首发入的 one 体验感拉满，很不错。可以躺着玩 ps5 ns xss，这是想都没想过的事情，偶尔连着手机躺床上刷视频，看漫画也挺好。原始设置的 4 米 144 寸屏幕，体验感比 2.5 米 65 寸电视的体验感要强，比较喜欢云台模式，可以弯着脖子玩游戏。
2024年12月12日 · 【DP直连】标准版,首发购入的，第一时间试了，很好，确实易用性更便利了，我有beam，beam pro，还有上一代眼镜，一路用下来，这一代直连设备，可悬停，可云台，甚至还能调节画面距离和大小，有些竞品吹的大，其实要很远的距离，XREAL解决了这个痛点，而且这次的做工，明显提高了不少。音质也不错，看视频听感挺好，祝品牌发展的越来越好啊！
2024年12月17日 · 【DP直连】标准版,期待了许久，终于出现了一款不用拖着beam类产品独立连接使用的AR眼镜设备，考虑好久还是没忍住下手。重量适中，镜腿的发声部分和bose合作立体声效果很赞，有点像骨传导耳机的听感。显示清晰，光致变色很方便，真就一个眼镜盒能销售到的巨幕。3dof悬停模式玩 switch真的沉浸感拉满，也不那么容易头晕了，满分好评!!!
2025年1月5日 · 【DP直连】标准版,XREAL One眼镜是一款极具科技感和实用性的AR设备，佩戴轻便舒适，设计时尚简洁。它的显示效果清晰流畅，虚拟画面与现实场景融合度高，给人沉浸式的体验。尤其在观影和游戏中，它带来了前所未有的视觉享受。此外，兼容性强，与多种设备连接顺畅。对于追求科技与便捷生活的用户来说，这是一款非常值得入手的产品，性价比也十分出色。
2024年12月16日 · 【DP直连】标准版,之前用的xreal第一代，看到xreal one可以直接实现悬停马上下单了，一代实现悬停还需要beam，太不优雅了 说下我的感受，对比一代，画质好了不少，可以完整的看一部电影了，音质提升巨大，一代的音质聊胜于无，还有就是视场角大了点，近视镜位置更合理了 然后就是缺点了，希望下一代能实现2k分辨率，1080p还是太局促了
2024年12月12日 · 【DP直连】标准版,这次ONE有了个像样的盒子了，没有配遮光罩，比起AIR系列眼镜腿硬朗一点…最大的亮点在于解决了Beam pro只能串流没有视频输入的问题，只有Beam多个设备串联也不方便…支持瞳距调节电致变色比air2好些，1080P120FPS已经足够，3840P60FPS超宽屏刷新率低一点，以前的UAC和DP关需要重新设置，总之很好
2025年1月7日 · 【DP直连】标准版,xreal one 好玩，好用。但有一個問題是附贈的type c DP線，接我的手機 vivo fold 3 鬆鬆的，常常只要 動到線頭就會斷線，改善一下這問題就很好了。這個問題在Ipad pro上就不會發生，意外的發現原廠附贈的 type c DP線接 Ipad pro 100%吻合，嚴絲合縫，一點都不會有接觸不良的問題
2024年12月16日 · 【DP直连】标准版,第一次购买并体验AR眼镜产品，有眼前一亮的感觉，使用眼镜的同时，也还能观看其它事物，视觉体验很奇特，XREAL One有三档电致变色技术，有由浅到深三种档位的透光率，在不同的光线条件都能使用。天生3DoF功能是独有的功能，在使用时能将画画固定在空间。产品科技感十足，也还有升级空间，需支持无线投屏。如果附加上近视调节就更好了。
2024年12月23日 · 【DP直连】标准版,看到发布新品的信息，特意买来体验，真的不错，现在是我的第二块屏幕了，观影体验彻底升级了。屏幕巨大，可调节远近，很方便！尤其新款的3Dof功能特别好用，也不用再外接设备了，可以让我完全沉浸在虚拟世界中。出差带着也很方便，无论是在家中还是户外，都能享受到身临其境的快感。强烈推荐给追求高品质游戏体验的朋友们，这副眼镜绝对值得拥有！
